Coach,Win Percent,Season,Record,Team,Sport
Rob Fulton,.643,2013-14,12-6-3,Shippensburg,Womens Soccer
Mark Matlak,.000,2015-16,0-0,Allegheny,Football
Rob Fulton,.361,2011-12,5-10-3,Shippensburg,Womens Soccer
Justin Buchanan,.600,2014-15,6-4,Hendrix,Football
Estevan Arbaiza,.344,2014-15,5-10-1,Howard Payne,Mens Soccer
Estevan Arbaiza,.056,2013-14,1-17,Howard Payne,Mens Soccer
Rick Ponx,.100,2014-15,1-9,Aurora,Football
Steven Christenson,.000,2015-16,0-0,Keuka,Womens Soccer
Steven Christenson,.647,2014-15,10-5-2,Keuka,Womens Soccer
Steven Christenson,.594,2013-14,9-6-1,Keuka,Womens Soccer
Steven Christenson,.472,2008-09,8-9-1,Utica,Mens Soccer
Steven Christenson,.526,2007-08,10-9,Utica,Mens Soccer
Steven Christenson,.353,2006-07,5-10-2,Utica,Mens Soccer
Mark Cook,.510,2014-15,26-25,Winthrop,Softball
Mark Cook,.509,2013-14,27-26,Winthrop,Softball
Mark Cook,.491,2012-13,28-29,Winthrop,Softball
Mark Cook,.291,2011-12,16-39,Winthrop,Softball
Ed Goodhines,.632,1990-91,24-14,Southampton,Softball
Jenny Michael,.600,2012-13,21-14,Lincoln Memorial,Womens Volleyball
Mark Collings,.711,2013-14,12-4-3,Seattle Pacific,Mens Soccer
Mark Collings,.711,2012-13,11-3-5,Seattle Pacific,Mens Soccer
Mark Collings,.000,2015-16,0-0,Seattle Pacific,Mens Soccer
Mark Collings,.850,2014-15,16-2-2,Seattle Pacific,Mens Soccer
Jeremy Driver,.333,2014-15,5-11-2,St. Olaf,Womens Soccer
Jeremy Driver,.556,2013-14,9-7-2,St. Olaf,Womens Soccer
Mark Collings,.750,2011-12,14-4-2,Seattle Pacific,Mens Soccer
Jeremy Driver,.000,2015-16,0-0,St. Olaf,Womens Soccer
Troy Fabiano,.886,2014-15,18-1-3,Wis.-Parkside,Womens Soccer
Troy Fabiano,.000,2015-16,0-0,Milwaukee,Womens Soccer
Liz Masterson,.444,2011-12,8-10,RIT,Womens Soccer
Liz Masterson,.658,2012-13,11-5-3,RIT,Womens Soccer
Mark Foster,.684,2014-15,12-5-2,Trevecca Nazarene,Womens Soccer
Mark Foster,.389,2013-14,6-10-2,Trevecca Nazarene,Womens Soccer
Troy Fabiano,.725,2012-13,14-5-1,Wis.-Parkside,Womens Soccer
Troy Fabiano,.705,2013-14,14-5-3,Wis.-Parkside,Womens Soccer
Lumumba Shabazz,.000,2015-16,0-0,Kalamazoo,Mens Soccer
Lumumba Shabazz,.643,2014-15,12-6-3,Kalamazoo,Mens Soccer
Kevin Grimes,.324,2011-12,3-9-5,California,Mens Soccer
Dave Harper,.000,2015-16,0-0,Ferrum,Football
Charlene Morett,.684,2013-14,13-6,Penn St.,Field Hockey
Charlene Morett,.818,2012-13,18-4,Penn St.,Field Hockey
Lumumba Shabazz,.447,2013-14,8-10-1,Kalamazoo,Mens Soccer
Lumumba Shabazz,.605,2012-13,11-7-1,Kalamazoo,Mens Soccer
Bobby Kramig,.789,2014-15,14-3-2,Miami (OH),Womens Soccer
Bobby Kramig,.619,2013-14,11-6-4,Miami (OH),Womens Soccer
Charlene Morett,.739,2011-12,17-6,Penn St.,Field Hockey
Bobby Kramig,.000,2015-16,0-0,Miami (OH),Womens Soccer
Jeff Bateson,.000,2015-16,0-0,Guilford,Mens Soccer
Jeff Bateson,.333,2014-15,5-11-2,Guilford,Mens Soccer
Bobby Kramig,.854,2012-13,20-3-1,Miami (OH),Womens Soccer
Bobby Kramig,.528,2011-12,9-8-1,Miami (OH),Womens Soccer
Claudio Arias,.000,2015-16,0-0,Tex. A&M Intl,Womens Soccer
Kelsey Peterson,.500,2012-13,11-11,Mount Mary,Womens Volleyball
Kris Grunwald,.633,1999-00,19-11,Auburn,Womens Volleyball
Kris Grunwald,.387,2014-15,12-19,UConn,Womens Volleyball
Claudio Arias,.139,2011-12,2-15-1,Tex. A&M Intl,Womens Soccer
Dominic Oliveri,.553,2011-12,9-7-3,SUNY Geneseo,Mens Soccer
Claudio Arias,.125,2013-14,2-14,Tex. A&M Intl,Womens Soccer
Erin Schurr,.562,2014-15,9-7,SUNY Poly,Womens Lacrosse
Jeff Meeker,.645,2012-13,20-11,Cornell College,Womens Volleyball
Kris Grunwald,.000,2015-16,0-0,UConn,Womens Volleyball
Kelsey Peterson,.000,2014-15,0-28,Mount Mary,Womens Volleyball
Dominic Oliveri,.395,2013-14,6-10-3,SUNY Geneseo,Mens Soccer
Kelsey Peterson,.042,2013-14,1-23,Mount Mary,Womens Volleyball
Dominic Oliveri,.389,2012-13,6-10-2,SUNY Geneseo,Mens Soccer
Chad Gfeller,.500,2011-12,8-8,North Greenville,Mens Soccer
Kristina Hernandez,.600,2012-13,21-14,Hofstra,Womens Volleyball
Kelsey Peterson,.000,2015-16,0-0,Mount Mary,Womens Volleyball
Chad Gfeller,.233,2013-14,3-11-1,North Greenville,Mens Soccer
Mark Wagner,.395,1999-00,7-11-1,Nichols,Mens Soccer
Mark Wagner,.500,1997-98,4-4-1,Nichols,Mens Soccer
Mark Wagner,.000,2015-16,0-0,Eastern,Mens Soccer
Jeff Meeker,.000,2015-16,0-0,Cornell College,Womens Volleyball
Mark Wagner,.763,2013-14,14-4-1,Eastern,Mens Soccer
Mark Wagner,.633,2012-13,9-5-1,Eastern,Mens Soccer
Mark Wagner,.658,2011-12,12-6-1,Eastern,Mens Soccer
Lauren Lukis,.000,2015-16,0-0,Bentley,Womens Soccer
Lauren Lukis,.118,2014-15,2-15,Bentley,Womens Soccer
Lauren Lukis,.188,2013-14,2-12-2,Bentley,Womens Soccer
Dean Nichols,.762,1988-89,32-10,Central Wash.,Mens Basketball
Dean Nichols,.676,1987-88,23-11,Central Wash.,Mens Basketball
Dean Nichols,.780,1986-87,32-9,Central Wash.,Mens Basketball
Dean Nichols,.818,1985-86,27-6,Central Wash.,Mens Basketball
Erin Schurr,.476,2014-15,9-10-2,SUNY Poly,Womens Soccer
Erin Schurr,.447,2013-14,8-10-1,SUNY Poly,Womens Soccer
Erin Schurr,.500,2012-13,10-10-,SUNY Poly,Womens Soccer
Dean Nichols,.861,1989-90,31-5,Central Wash.,Mens Basketball
Erin Schurr,.462,2013-14,6-7,SUNY Poly,Womens Lacrosse
Erin Schurr,.000,2015-16,0-0,SUNY Poly,Womens Soccer
Rob Donnenwirth,.595,2014-15,12-8-1,East Carolina,Womens Soccer
Rob Donnenwirth,.000,2015-16,0-0,East Carolina,Womens Soccer
Jeff Meeker,.788,2014-15,26-7,Cornell College,Womens Volleyball
Ed Goodhines,.632,2011-12,11-6-2,Averett,Mens Soccer
Ed Goodhines,.639,2012-13,10-5-3,Averett,Mens Soccer
Rupert Lewis,.429,2008-09,6-8,St. Josephs (ME),Womens Lacrosse
Rupert Lewis,.385,2007-08,5-8,St. Josephs (ME),Womens Lacrosse
Jim Parady,.364,2011-12,4-7,Marist,Football
Rupert Lewis,.895,2014-15,17-2,St. Josephs (ME),Womens Lacrosse
Rupert Lewis,.789,2013-14,15-4,St. Josephs (ME),Field Hockey
Rupert Lewis,.529,2012-13,9-8,St. Josephs (ME),Field Hockey
Rupert Lewis,.000,2015-16,0-0,St. Josephs (ME),Field Hockey
Rupert Lewis,.824,2014-15,14-3,St. Josephs (ME),Field Hockey
Chris Campbell,.281,2013-14,9-23,Boston College,Womens Volleyball
Michael Moynihan,.211,2013-14,3-14-2,Northwestern,Womens Soccer
Michael Moynihan,.421,2012-13,7-10-2,Northwestern,Womens Soccer
Michael Moynihan,.864,2011-12,19-3,Milwaukee,Womens Soccer
Jim Parady,.727,2013-14,8-3,Marist,Football
Jim Parady,.364,2012-13,4-7,Marist,Football
Chris Villarrial,.455,2013-14,5-6,Saint Francis (PA),Football
Chris Villarrial,.455,2012-13,5-6,Saint Francis (PA),Football
Didier Orellana,.444,2013-14,7-9-2,NJIT,Mens Soccer
Andrew Bordelon,.000,2015-16,0-0,Westminster (MO),Mens Soccer
Jenny Michael,.000,2015-16,0-0,Lincoln Memorial,Womens Volleyball
Chris Campbell,.379,2014-15,11-18,Boston College,Womens Volleyball
Bill Davidson,.000,2011-12,0-18,Siena,Field Hockey
Chris Volk,.700,2014-15,16-6-3,UC Irvine,Mens Soccer
Neil Stafford,.786,2011-12,15-3-3,Central Mich.,Womens Soccer
Chris Campbell,.226,2011-12,7-24,Boston College,Womens Volleyball
Luigi Scire,.705,2014-15,14-5-3,Webster,Womens Soccer
Luigi Scire,.864,2013-14,19-3,Webster,Womens Soccer
Chris Keller,.222,2012-13,4-14,Wabash,Mens Soccer
Luigi Scire,.000,2015-16,0-0,Webster,Womens Soccer
Chris Keller,.763,2014-15,13-3-3,Wabash,Mens Soccer
Chris Keller,.294,2013-14,4-11-2,Wabash,Mens Soccer
Glenn DeHaven,.486,2012-13,17-18,Stevens,Womens Volleyball
Chris Keller,.000,2015-16,0-0,Wabash,Mens Soccer
Glenn DeHaven,.825,2014-15,33-7,Stevens,Womens Volleyball
Glenn DeHaven,.794,2013-14,27-7,Stevens,Womens Volleyball
Chris Campbell,.312,2012-13,10-22,Boston College,Womens Volleyball
Eddie Radwanski,.000,2015-16,0-0,Clemson,Womens Soccer
Steven Clark,.525,2011-12,8-7-5,Wesley,Mens Soccer
George Mihalik,.000,2015-16,0-0,Slippery Rock,Football
Bill Davidson,.111,2010-11,2-16,Siena,Field Hockey
Jorden Scott,.361,2013-14,5-10-3,Manhattan,Mens Soccer
Todd West,.000,2015-16,0-0,American,Mens Soccer
Jorden Scott,.000,2015-16,0-0,Manhattan,Mens Soccer
Jorden Scott,.188,2014-15,2-12-2,Manhattan,Mens Soccer
Todd West,.632,2012-13,11-6-2,American,Mens Soccer
Todd West,.381,2011-12,7-12-2,American,Mens Soccer
Todd West,.684,2014-15,11-4-4,American,Mens Soccer
Todd West,.475,2013-14,7-8-5,American,Mens Soccer
Larry Coker,.667,2012-13,8-4,UTSA,Football
Larry Coker,.400,2011-12,4-6,UTSA,Football
Neil Stafford,.550,2014-15,10-8-2,Cincinnati,Womens Soccer
Kerwin Bell,.818,2014-15,9-2,Jacksonville,Football
Kerwin Bell,.000,2015-16,0-0,Jacksonville,Football
Kerwin Bell,.636,2012-13,7-4,Jacksonville,Football
Kerwin Bell,.455,2013-14,5-6,Jacksonville,Football
Krissy Turner,.000,2015-16,0-0,Monmouth,Womens Soccer
Kerwin Bell,.636,2011-12,7-4,Jacksonville,Football
Krissy Turner,.857,2013-14,17-2-2,Monmouth,Womens Soccer
Krissy Turner,.737,2014-15,14-5,Monmouth,Womens Soccer
Krissy Turner,.579,2011-12,11-8,Monmouth,Womens Soccer
Krissy Turner,.579,2012-13,10-7-2,Monmouth,Womens Soccer
Joe Loth,.111,2012-13,1-8,Western Conn. St.,Football
Kos Donev,.125,2014-15,1-13-2,Fla. Atlantic,Mens Soccer
Jeremy Bishop,.316,2014-15,5-12-2,Central Ark.,Womens Soccer
Jeremy Bishop,.476,2013-14,9-10-2,Central Ark.,Womens Soccer
Kos Donev,.000,2015-16,0-0,Fla. Atlantic,Mens Soccer
Adam Dorrel,.833,2014-15,10-2,Northwest Mo. St.,Football
Adam Dorrel,II,2013-14,Div,Northwest Mo. St. 15-0 1.000 ,Football
Todd Clark,.727,2011-12,15-5-2,Campbell,Womens Soccer
Oliver Carias,.000,2015-16,0-0,Queens (NC),Mens Soccer
Todd Clark,.389,2013-14,7-11,Campbell,Womens Soccer
Todd Clark,.553,2012-13,10-8-1,Campbell,Womens Soccer
Todd Clark,.000,2015-16,0-0,Canisius,Womens Soccer
Todd Clark,.667,2014-15,11-5-2,Barton,Womens Soccer
Jeremy Bishop,.583,2012-13,10-7-1,Central Ark.,Womens Soccer
Jeremy Bishop,.368,2011-12,6-11-2,Harding,Mens Soccer
Bill Kelly,.333,2014-15,5-11-2,Bard,Womens Soccer
Bill Kelly,.000,2015-16,0-0,Bard,Womens Soccer
Todd Yelton,.682,2011-12,14-6-2,Samford,Womens Soccer
Todd Yelton,.600,2012-13,11-7-2,Samford,Womens Soccer
Todd Yelton,.667,2013-14,13-6-2,Samford,Womens Soccer
Todd Yelton,.636,2014-15,14-8,Samford,Womens Soccer
Todd Yelton,.000,2015-16,0-0,Samford,Womens Soccer
Bill Kelly,.235,2011-12,4-13,Bard,Womens Soccer
Bill Kelly,.306,2012-13,5-12-1,Bard,Womens Soccer
Bill Kelly,.368,2013-14,6-11-2,Bard,Womens Soccer
Tom Black,.357,2011-12,10-18,Morrisville St.,Softball
Jennifer Bowman,.522,2012-13,12-11,Trinity (CT),Womens Volleyball
Chris Catanach,.971,2014-15,34-1,Tampa,Womens Volleyball
Tyler Hughes,.091,2014-15,1-10,Minot St.,Football
Tyler Hughes,.000,2015-16,0-0,Minot St.,Football
Laura Duncan,.412,2014-15,6-9-2,New Haven,Womens Soccer
Laura Duncan,.000,2015-16,0-0,New Haven,Womens Soccer
Laura Duncan,.605,2012-13,11-7-1,New Haven,Womens Soccer
Laura Duncan,.658,2013-14,11-5-3,New Haven,Womens Soccer
Erik Burstein,.000,2015-16,0-0,Kutztown,Womens Soccer
Laura Duncan,.529,2011-12,9-8,New Haven,Womens Soccer
Michael Idland,.778,2011-12,13-3-2,Pitt.-Bradford,Womens Soccer
Michael Idland,.675,2012-13,13-6-1,Pitt.-Bradford,Womens Soccer
Dana Taylor,.450,2014-15,6-8-6,Cal St. Stanislaus,Mens Soccer
Brett Sayer,.750,2014-15,27-9,Colby-Sawyer,Womens Volleyball
Mickey Cahoon,.385,2011-12,10-16,Clark (MA),Womens Volleyball
Alan Dawson,.650,2011-12,12-6-2,Old Dominion,Mens Soccer
Deane Webb,.514,2012-13,18-17,Belmont,Womens Volleyball
Deane Webb,.576,2013-14,19-14,Belmont,Womens Volleyball
Deane Webb,.793,2014-15,23-6,Ohio,Womens Volleyball
Deane Webb,.000,2015-16,0-0,Ohio,Womens Volleyball
John Pearce,.273,1998-99,3-8,Stephen F. Austin,Football
John Pearce,.200,2014-15,2-8,Sul Ross St.,Football
Lisa Moreau,.000,2015-16,0-0,WPI,Field Hockey
Lisa Moreau,.611,2014-15,11-7,WPI,Field Hockey
Lisa Moreau,.353,2013-14,6-11,WPI,Field Hockey
Lisa Moreau,.444,2012-13,8-10,WPI,Field Hockey
Lisa Moreau,.611,2011-12,11-7,WPI,Field Hockey
Heather Cairns,.000,2015-16,0-0,Utah St.,Womens Soccer
Heather Cairns,.550,2014-15,10-8-2,Utah St.,Womens Soccer
Heather Cairns,.568,2013-14,10-7-5,Utah St.,Womens Soccer
Heather Cairns,.727,2012-13,13-3-6,Utah St.,Womens Soccer
Heather Cairns,.727,2011-12,15-5-2,Utah St.,Womens Soccer
Fred Wallace,.217,2012-13,5-18,Morrisville St.,Womens Volleyball
Andrea Leonard,.784,2011-12,29-8,Cal St. San Marcos,Womens Volleyball
Stefanie Golan,.600,2012-13,11-7-2,Minnesota,Womens Soccer
Dana Taylor,.675,2012-13,12-5-3,Cal St. Stanislaus,Mens Soccer
Ryan Young,.655,2011-12,19-10,Mo.-St. Louis,Womens Volleyball
Mauricio Ingrassia,.528,2013-14,8-7-3,Long Beach St.,Womens Soccer
Mauricio Ingrassia,.600,2012-13,12-8,Long Beach St.,Womens Soccer
Mauricio Ingrassia,.740,2011-12,18-6-1,Long Beach St.,Womens Soccer
Cory Phelps,.000,2015-16,0-0,St. Catherine,Womens Volleyball
Cory Phelps,.370,2014-15,10-17,St. Catherine,Womens Volleyball
Don Flora,.469,2011-12,15-17,Texas Tech,Womens Volleyball
Cory Phelps,.455,2012-13,15-18,St. Catherine,Womens Volleyball
Cory Phelps,.621,2011-12,18-11,St. Catherine,Womens Volleyball
Alan Dawson,.639,2013-14,11-6-1,Old Dominion,Mens Soccer
Mauricio Ingrassia,.000,2015-16,0-0,Long Beach St.,Womens Soccer
Mauricio Ingrassia,.524,2014-15,8-7-6,Long Beach St.,Womens Soccer
Dana Taylor,.472,2013-14,8-9-1,Cal St. Stanislaus,Mens Soccer
Samantha Bohon,.750,2013-14,16-5-1,Embry-Riddle (FL),Womens Soccer
Mike Lynch,.000,1994-95,0-0,Truman,Mens Soccer
Alan Dawson,.643,2014-15,13-7-1,Old Dominion,Mens Soccer
Brian Marcantonio,.000,2015-16,0-0,Utica,Mens Soccer
Frank Solich,.692,2012-13,9-4,Ohio,Football
John Daly,.000,2015-16,0-0,William & Mary,Womens Soccer
Mike Lynch,.000,1995-96,0-0,Truman,Mens Soccer
Sia Poyer,.286,2013-14,8-20,Eastern N.M.,Womens Volleyball
Dana Taylor,.632,2011-12,11-6-2,Cal St. Stanislaus,Mens Soccer
Frank Solich,.538,2013-14,7-6,Ohio,Football
Bo Atterberry,.545,2011-12,6-5,Tex. A&M-Kingsville,Football
Bo Atterberry,.500,2012-13,6-6,Tex. A&M-Kingsville,Football
Christopher Rayburn,.412,2014-15,7-10,Spalding,Womens Soccer
Christopher Rayburn,.000,2015-16,0-0,Spalding,Womens Soccer
Jess Semnacher,.738,2011-12,15-5-1,Principia,Womens Soccer
Jess Semnacher,.583,2012-13,10-7-1,Principia,Womens Soccer
Bo Atterberry,.583,2014-15,7-5,Southeastern Okla.,Football
Bo Atterberry,.000,2015-16,0-0,Southeastern Okla.,Football
Jess Semnacher,.526,2013-14,9-8-2,Principia,Womens Soccer
Jess Semnacher,.447,2014-15,8-10-1,Principia,Womens Soccer
Gary Evans,.056,2012-13,1-17,Colo. Christian,Mens Soccer
Gary Evans,.194,2013-14,3-14-1,Colo. Christian,Mens Soccer
Brett Sayer,.562,2012-13,18-14,Colby-Sawyer,Womens Volleyball
Scott McKenzie,.406,2002-03,6-9-1,Juniata,Mens Soccer
Phil Pisano,.000,2015-16,0-0,Penn St.-Behrend,Womens Volleyball
Alf Bilbao,.639,2014-15,10-5-3,Drury,Womens Soccer
Natalie Rawson,.556,2013-14,15-12,Newman,Womens Volleyball
Mike Ayers,.000,2015-16,0-0,Wofford,Football
Terry Culhane,.750,2013-14,24-8,Southwest Minn. St.,Womens Volleyball
Terry Culhane,.909,2012-13,30-3,Southwest Minn. St.,Womens Volleyball
Terry Culhane,.781,2011-12,25-7,Southwest Minn. St.,Womens Volleyball
Jodi Kenyon,.000,2015-16,0-0,Endicott,Womens Soccer
Mike Ayers,.545,2014-15,6-5,Wofford,Football
Mike Ayers,.455,2013-14,5-6,Wofford,Football
Terry Culhane,.000,2015-16,0-0,Southwest Minn. St.,Womens Volleyball
Terry Culhane,.722,2014-15,26-10,Southwest Minn. St.,Womens Volleyball
Danny Padron,.400,2012-13,4-6,Texas Lutheran,Football
Danny Padron,.889,2013-14,8-1,Texas Lutheran,Football
Karrin Moore,.000,2015-16,0-0,Pace,Womens Volleyball
Brian Kelly,.500,2014-15,7-7,Goucher,Mens Lacrosse
Alexandra Kennedy,.000,2015-16,0-0,Albright,Womens Volleyball
Gary Evans,.026,2011-12,0-18-1,Colo. Christian,Mens Soccer
Marci Jenkins,.714,2013-14,25-10,Radford,Womens Volleyball
Marci Jenkins,.750,2014-15,24-8,Radford,Womens Volleyball
Jon Wallace,.407,2013-14,11-16,Santa Clara,Womens Volleyball
Danny Padron,.500,2011-12,5-5,Texas Lutheran,Football
Brian Speck,.789,2012-13,15-4,Union (NY),Womens Soccer
Brian Speck,.562,2013-14,9-7,Union (NY),Womens Soccer
Paul Schlomer,.000,2015-16,0-0,Edgewood,Womens Volleyball
Kurt Barth,.400,2011-12,4-6,Eureka,Football
Paul Schlomer,.765,2013-14,26-8,Edgewood,Womens Volleyball
Paul Schlomer,.629,2014-15,22-13,Edgewood,Womens Volleyball
Jon Wallace,.407,2011-12,11-16,Santa Clara,Womens Volleyball
Jon Wallace,.625,2012-13,20-12,Santa Clara,Womens Volleyball
Amy Cohen,.857,2014-15,18-3,West Chester,Field Hockey
Kurt Barth,.400,2012-13,4-6,Eureka,Football
Mark Raley,.364,2003-04,12-21,Johnson C. Smith,Softball
Mark Raley,.138,2002-03,4-25,Johnson C. Smith,Softball
Becky Egan,.594,2013-14,19-13,Hamline,Womens Volleyball
Mark Raley,.400,2014-15,12-18,Johnson C. Smith,Softball
Becky Egan,.000,2015-16,0-0,Hamline,Womens Volleyball
Danny Padron,.818,2014-15,9-2,Texas Lutheran,Football
Tim Launtz,.300,2012-13,3-7,Juniata,Football
Tim Launtz,.100,2011-12,1-9,Juniata,Football
Tim Launtz,.500,2014-15,5-5,Juniata,Football
Tim Launtz,.636,2013-14,7-4,Juniata,Football
Brian Kelly,.923,2012-13,12-1,Notre Dame,Football
Danny Padron,.000,2015-16,0-0,Texas Lutheran,Football
Bobby Desilets,.450,2013-14,7-9-4,Wentworth,Womens Soccer
Sean Kugler,.167,2013-14,2-10,UTEP,Football
Mike Jones,.091,2011-12,1-10,Lincoln (MO),Football
Brian Kelly,.467,2013-14,7-8,Goucher,Mens Lacrosse
Mike Jones,.583,1999-00,14-10,Howard Payne,Womens Basketball
Mike Jones,.273,2013-14,3-8,Lincoln (MO),Football
Mike Jones,.091,2012-13,1-10,Lincoln (MO),Football
Brian Kelly,.500,2012-13,8-8,Goucher,Mens Lacrosse
Steve Addazio,.538,2014-15,7-6,Boston College,Football
Tommy Tuberville,.692,2014-15,9-4,Cincinnati,Football
Tommy Tuberville,.000,2015-16,0-0,Cincinnati,Football
Tommy Tuberville,.583,2012-13,7-5,Texas Tech,Football
Tommy Tuberville,.692,2013-14,9-4,Cincinnati,Football
Catherine Somits,.000,2015-16,0-0,Newberry,Field Hockey
John Sanchez,.111,2013-14,2-16,Hunter,Mens Soccer
Catherine Somits,.000,2013-14,0-15,Newberry,Field Hockey
Catherine Somits,.222,2014-15,4-14,Newberry,Field Hockey
John Sanchez,.265,2014-15,4-12-1,Hunter,Mens Soccer
John Sanchez,.000,2015-16,0-0,Hunter,Mens Soccer
Steve Addazio,.538,2013-14,7-6,Boston College,Football
Perry Nizzi,.400,2014-15,5-8-2,Hamilton,Mens Soccer
Donna Hornibrook,.000,2015-16,0-0,Cornell,Field Hockey
Michelle Young,.706,2012-13,24-10,Furman,Womens Volleyball
Brian Kelly,.000,2015-16,0-0,Notre Dame,Football
Monica Wright,.000,2015-16,0-0,Otterbein,Womens Volleyball
Greg Herdlick,.684,2011-12,12-5-2,Rockhurst,Womens Soccer
Greg Herdlick,.738,2012-13,14-4-3,Rockhurst,Womens Soccer
Greg Herdlick,.659,2013-14,13-6-3,Rockhurst,Womens Soccer
Greg Herdlick,.816,2014-15,14-2-3,Rockhurst,Womens Soccer
Greg Herdlick,.000,2015-16,0-0,Rockhurst,Womens Soccer
Linda Hamilton,.476,2011-12,9-10-2,North Florida,Womens Soccer
Linda Hamilton,.450,2012-13,8-10-2,North Florida,Womens Soccer
Linda Hamilton,.421,2013-14,6-9-4,North Florida,Womens Soccer
Linda Hamilton,.667,2014-15,11-5-2,Illinois Col.,Womens Soccer
Michelle Young,.700,2011-12,21-9,Furman,Womens Volleyball
Leanne Ulmer,.632,2013-14,24-14,Carthage,Womens Volleyball
Leanne Ulmer,.900,2014-15,36-4,Carthage,Womens Volleyball
Rob Keys,.545,2011-12,6-5,Findlay,Football
Adam Galla,.342,2014-15,6-12-1,Lakeland,Mens Soccer
Adam Galla,.000,2015-16,0-0,Lakeland,Mens Soccer
Adam Galla,.167,2012-13,3-15,Lakeland,Womens Soccer
Adam Galla,.289,2013-14,5-13-1,Lakeland,Womens Soccer
Mark James,.700,2014-15,7-3,Virginia Union,Football
Mark James,.000,2015-16,0-0,Virginia Union,Football
Leanne Ulmer,.829,2011-12,34-7,Carthage,Womens Volleyball
Leanne Ulmer,.676,2012-13,25-12,Carthage,Womens Volleyball
Allison Walker,.838,2013-14,31-6,Stockton,Womens Volleyball
Marty Beall,.475,2013-14,9-10-1,High Point,Womens Soccer
Allison Walker,.735,2011-12,25-9,Stockton,Womens Volleyball
Allison Walker,.800,2012-13,28-7,Stockton,Womens Volleyball
Adam Sayers,.667,2012-13,12-6,ETSU,Womens Soccer
Adam Sayers,.444,2013-14,7-9-2,ETSU,Womens Soccer
Allison Walker,.000,2015-16,0-0,Stockton,Womens Volleyball
Marty Beall,.667,2014-15,12-5-4,High Point,Womens Soccer
Tim Beck,.929,2011-12,13-1,Pittsburg St.,Football
Tim Beck,.700,2012-13,7-3,Pittsburg St.,Football
Adam Sayers,.714,2014-15,15-6,ETSU,Womens Soccer
Adam Sayers,.000,2015-16,0-0,ETSU,Womens Soccer
Tim Beck,.000,2015-16,0-0,Pittsburg St.,Football
Marty Beall,.452,2011-12,8-10-3,High Point,Womens Soccer
Tim Beck,.833,2013-14,10-2,Pittsburg St.,Football
Tim Beck,.846,2014-15,11-2,Pittsburg St.,Football
Dan Fisher,.576,2013-14,19-14,Pittsburgh,Womens Volleyball
Dan Fisher,1.000,2012-13,38-0,Concordia (CA),Womens Volleyball
Russ Rose,.944,2013-14,34-2,Penn St.,Womens Volleyball
Craig Candeto,.000,2015-16,0-0,Capital,Football
Craig Candeto,.300,2014-15,3-7,Capital,Football
Dan Fisher,.611,2000-01,11-7,Concordia (NY),Mens Soccer
Dan Fisher,.789,1999-00,15-4,Concordia (NY),Mens Soccer
Dan Fisher,.375,2002-03,6-10,Concordia (NY),Mens Soccer
Dan Fisher,.353,2001-02,6-11,Concordia (NY),Mens Soccer
Dan Fisher,.949,2011-12,37-2,Concordia (CA),Womens Volleyball
Dan Fisher,.167,2003-04,2-12-1,Concordia (NY),Mens Soccer
Nicholas Spell,.206,2012-13,3-13-1,Heidelberg,Womens Soccer
Blair Trail,.516,2012-13,16-15,Roanoke,Womens Volleyball
Beth Launiere,.000,2015-16,0-0,Utah,Womens Volleyball
Beth Launiere,.606,2014-15,20-13,Utah,Womens Volleyball
Blair Trail,.000,2015-16,0-0,Roanoke,Womens Volleyball
Christina Restivo,.467,2013-14,7-8,Va. Wesleyan,Field Hockey
Christina Restivo,.235,2014-15,4-13,Va. Wesleyan,Field Hockey
Christina Restivo,.000,2015-16,0-0,Va. Wesleyan,Field Hockey
Laura Schott,.528,2011-12,8-7-3,Portland St.,Womens Soccer
Laura Schott,.526,2012-13,9-8-2,Portland St.,Womens Soccer
Jason Reed,.000,2015-16,0-0,UIndy,Womens Volleyball
Jason Reed,.633,2014-15,19-11,UIndy,Womens Volleyball
Elizabeth Pike,.452,2012-13,9-11-1,Shenandoah,Womens Soccer
Brian Kelly,.615,2014-15,8-5,Notre Dame,Football
Danny Longo,.393,2014-15,5-8-1,Molloy,Womens Soccer
Danny Longo,.000,2015-16,0-0,Molloy,Womens Soccer
Brad Rzyczycki,.273,2012-13,3-8,Gannon,Football
Brad Rzyczycki,.545,2013-14,6-5,Gannon,Football
Brad Rzyczycki,.800,2014-15,8-2,Gannon,Football
Brad Rzyczycki,.000,2015-16,0-0,Gannon,Football
Derick Lyngholm,.500,2011-12,8-8-3,Bethany Lutheran,Womens Soccer
Derick Lyngholm,.619,2012-13,12-7-2,Bethany Lutheran,Womens Soccer
Derick Lyngholm,.342,2013-14,5-11-3,Bethany Lutheran,Womens Soccer
Derick Lyngholm,.405,2014-15,8-12-1,Bethany Lutheran,Womens Soccer
Fred Wallace,.526,2002-03,20-18,Pitt.-Bradford,Softball
Kaddie Platt,.438,2014-15,14-18,Houston,Womens Volleyball
Ruffin McNeill,.615,2014-15,8-5,East Carolina,Football
Mike Kelly,.233,1986-87,7-23,Capital,Baseball
Kim Kelly,.469,2012-13,15-17,Carnegie Mellon,Womens Volleyball
Kevin Meek,.738,2014-15,15-5-1,Assumption,Womens Soccer
Dan Dubois,.000,2015-16,0-0,Juniata,Mens Soccer
Sarah Johnson,.000,2015-16,0-0,Lindenwood (MO),Field Hockey
